BOMCode,MachineModel,Version,ItemCode,ItemName,SubAssemblyTag,QtyPerMachine,Unit,ScrapPercent,EstHoursPerUnit
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6160100300,DSG-03-3C2-D24 (YUKEN),90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6160100400,DSG-03-3C12-D24 (YUKEN),90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6160100500,DSG-01-2B2B-D24 (YUKEN),90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6170100100,PRESSURE RELIEF VALVE - BG-03-HP32 (YUKEN),90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6170100200,PRESSURE RELIEF VALVE - BG-06-P32 (YUKEN),90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6180100100,PILOT OPERATED CHECK VALVE - MPA-01-4-40H01 (YUKEN),90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6180200100,PILOT OPERATED CHECK VALVE - MCIV-06-01 (PRISM HYD),90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6190100200,LINE CHECK VALVE C10T1-03 (POLYHYDRON),90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6190100100,LINE CHECK VALVE C20T1-03  (POLYHYDRON),90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6240100100,"PRESSURE GAUG 0-420 BAR BACK CONNECTION (2-1/2"")",90-280,2.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6010400100,SERVO SYSTEM - 64 LPM (JAKSH),90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6020100100,PANEL SERVO-90 B&R,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6030100100,PANEL SERVO-90-280 B&R,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6210100100,LINEAR LT-M-100,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6210100175,LINEAR LT-M-175,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6210100350,LINEAR LT-M-350,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6220100100,LIMIT SWITCH SNAP ACTION - PC 603,90-280,4.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6220200100,LIMIT SWITCH ROLLER LEVER - FTN-139Z11,90-280,3.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,7340100100,HYDRAULIC PIPE CLAMP - 20 MM,90-280,2.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,7340100200,HYDRAULIC PIPE CLAMP - 25 MM,90-280,4.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6150100100,Ø85x115 CERAMIC HEATER WITH COVER,90-280,6.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6150200100,Ø85x30 MICA HEATER,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6150300100,Ø50x40 MICA HEATER SIDE CUT,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6150400100,Ø30x30 COIL HEATER,90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6141100100,"THERMO COUPLE SENSOR 
(K TYPE L SHAPE ISOLATED 1 MTR)",90-280,3.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,6141200100,"THERMO COUPLE SENSOR
BUTTERFLY TYPE 1/4 BSP K TYPE ISOLATED 1.5 MTR",90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,7330200100,MOTOR MOUNTING PAD Ø60 X M10 X 40LG,90-280,4.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,7910500100,PLASTIC CAN HDPE-3 LITER (WHITE),90-280,1.0,NOS,0.0,0.5
90-280,(10000) NEO PRIME 90 - 280 TON [1000310100],1.0,7910300100,ANTI VIBRATION RUBBER PAD - Ø125,90-280,4.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,1000110200,TOGGLE TYPE LOCKING UNIT-110 TON,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,1000210200,GUIDE ROD TYPE INJECTION UNIT-420,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3000001900,BASE FRAME ASSY - 110TON  (280/420/635),110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3000002100,INJECTION FRAME ASSY - 110-420 (GUIDE ROD TYPE),110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,2000301100,SCREW BARREL ASSY - 40-420,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,2000301300,OIL TANK ASSY - 110 TON - 300LTR,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,2000301400,SAFETY DOOR ASSY - 110 TON,110-420,1.0,NOS,0.0,0.5
