BOM Code,Machine Model / Assembly Name,Version,Sub-Assembly Block,Item / Part Code,Old Item Code,Item Description,Category,BOM Qty Per Machine,Unit,Lead Time Days,Scrap %,Estimated Assembly Hours
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005012600,-,INJ CYL ROD NUT RETAINER - 635 (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005013300,-,INJECTION GUIDE ROD SUPPORT ID Ø60 - 280 (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005002900,-,EJECTOR PLATE  TOGGLE - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005013500,-,HEAT EXCHANGER FRONT CAP - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005013600,-,HEAT EXCHANGER END CAP - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0003,PATTERN-140-635,Rev 1.0,PATTERN-140-635,4005006000,-,MOVING PLATE SLIDING BLOCK - 140 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005000400,-,STATIONARY PLATE TOGGLE - 170 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005001500,-,MOVING PLATE TOGGLE - 170 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005002600,-,END PLATE - 170 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005003900,-,CROSSHEAD - 170 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005004500,-,CROSSHEAD LINK - 170 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005005100,-,BINARY LINK - 170 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005005700,-,TERNARY LINK - 170 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005006600,-,SUN GEAR - 170 TON (MODULE-3 TEETH-215)  (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005007200,-,GEAR NUT RETAINER - 170 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005007500,-,DIE HEIGHT MOTOR MTG BRACKET - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005010200,-,BARREL PLATE - 905 (STOCK-245) (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005011600,-,BEARING HOUSING - 905 (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005012700,-,INJ CYL ROD NUT RETAINER - 905 (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005013400,-,INJECTION GUIDE ROD SUPPORT ID Ø70 - 905 (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005002900,-,EJECTOR PLATE  TOGGLE - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005013500,-,HEAT EXCHANGER FRONT CAP - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005013600,-,HEAT EXCHANGER END CAP - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0004,PATTERN-170-905,Rev 1.0,PATTERN-170-905,4005006000,-,MOVING PLATE SLIDING BLOCK - 140 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005000500,-,STATIONARY PLATE TOGGLE - 200 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005001600,-,MOVING PLATE TOGGLE - 200 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005002700,-,END PLATE - 200 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005004000,-,CROSSHEAD - 200 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005004600,-,CROSSHEAD LINK - 200 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005005200,-,BINARY LINK - 200 TO (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005005800,-,TERNARY LINK - 200 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005006700,-,SUN GEAR - 200 TON (MODULE-3 TEETH-240) (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005007300,-,GEAR NUT RETAINER - 200 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
